team,offensive_epa,defensive_epa,offensive_dvoa,defensive_dvoa,total_dvoa,points_per_game,points_allowed_per_game,team_rating,offensive_rating,defensive_rating,offensive_strength,defensive_strength,overall_strength
KC,0.105,0.0274999999999999,0.0153085473756169,0.1044449442770856,0.0138271193730342,23.1,20.45,56.0,51.7,53.7,0.05319256421268508,0.05163348328312564,0.05249097779438334
BAL,0.4526315789473683,-0.0078947368421052,0.243755982328411,0.0734445183358342,0.2726846143027567,30.05263157894737,21.157894736842103,54.8,53.6,57.0,0.30249521575115484,0.02392809234285556,0.17714001021742018
PHI,0.3976190476190476,0.1452380952380952,0.2093980045294711,0.2075656742933811,0.2327967711699187,28.952380952380956,18.09523809523809,55.3,49.3,55.3,0.26358130612074615,0.14379351181182387,0.20967679868173114
GB,0.2555555555555556,0.05,0.1176344547706614,0.124151534745316,0.1279682047176207,26.11111111111111,20.0,53.5,50.2,57.0,0.16217922532008733,0.0692454604235948,0.1203590311166657
ATL,0.0941176470588235,-0.1941176470588235,0.0076988518477653,-0.0896585317727391,0.0054487852075675,22.88235294117647,24.88235294117647,52.5,54.3,55.4,0.045250832024917816,-0.12183873600240995,-0.029939473587379677
PIT,0.0444444444444444,0.0083333333333333,-0.0274154643625385,0.0876578486930375,-0.0330222838282503,21.88888888888889,20.83333333333333,51.6,50.1,53.9,0.008886471802349546,0.0366306879412446,0.02137136906485232
BUF,0.4800000000000001,-0.0299999999999999,0.2606134075057854,0.0540836575249412,0.2923873052393378,30.6,21.6,53.8,55.8,54.3,0.3217840222517357,0.00662509725748239,0.17996250600432173
ARI,0.1264705882352941,-0.0647058823529411,0.0302359401118042,0.0236865637308082,0.0303055477163456,23.529411764705884,22.294117647058822,52.7,47.0,51.8,0.06883548791589421,-0.020541089704286915,0.028616027986812703
CHI,-0.138235294117647,-0.038235294117647,-0.162149177777697,0.0468707878110791,-0.1778624193384393,18.235294117647054,21.764705882352946,51.0,50.5,54.4,-0.12652710627448557,0.00017888340214725486,-0.0695094109200008
TEN,-0.1352941176470588,-0.3029411764705882,-0.1599072629962484,-0.1849714529916312,-0.1754868605104471,18.294117647058822,27.058823529411764,51.9,54.6,54.9,-0.1243251200753451,-0.20702084766219522,-0.16153819748942766
CIN,0.3382352941176471,-0.2264705882352941,0.1715832730740455,-0.117994805648626,0.1893034645505577,27.764705882352946,25.529411764705884,56.9,58.7,55.7,0.22135733486339015,-0.14716314757694074,0.05552311776524127
NE,-0.2,-0.1764705882352941,-0.2098041743307551,-0.0742023823858918,-0.2280940264118605,17.0,24.529411764705884,51.9,52.2,52.4,-0.17294125229922655,-0.1080254205981205,-0.14372912803372884
IND,0.0588235294117647,-0.2058823529411765,-0.0171862562902469,-0.0999626313639707,-0.0218471991847177,22.176470588235293,25.11764705882353,52.5,59.9,45.4,0.019432358407043573,-0.13104761293860298,-0.04828362869849738
HOU,0.0499999999999999,-0.0210526315789473,-0.0234569870372659,0.0619201964245884,-0.0287008675102986,22.0,21.42105263157895,51.5,53.0,50.8,0.012962903888820192,0.013628690506323907,0.013262507866696865
MIA,-0.0352941176470588,-0.0205882352941176,-0.0851180477197401,0.0623269371979266,-0.0955793927343547,20.294117647058822,21.41176470588235,52.8,50.3,50.0,-0.049888355492392615,0.013992198806436828,-0.02114210605791937
JAX,-0.1088235294117647,-0.2294117647058823,-0.1398401076120538,-0.1205708305464339,-0.1541728776478218,18.823529411764707,25.58823529411765,52.4,53.6,45.9,-0.10454026757773378,-0.14946536681098896,-0.12475656223269863
NO,-0.0558823529411764,-0.1205882352941176,-0.1002912243913399,-0.0252579093275417,-0.1118961684511766,19.88235294117647,23.41176470588235,50.8,48.3,50.6,-0.06514619084681371,-0.06428325515120366,-0.0647578697837892
CAR,-0.0470588235294117,-0.5205882352941176,-0.0937744046373333,-0.3755972954294153,-0.1048948467214032,20.058823529411764,31.41176470588235,50.4,44.0,45.7,-0.05860290962649409,-0.3773850709817657,-0.20205488223636633
NYG,-0.2470588235294117,-0.1705882352941176,-0.246864936327758,-0.0690503325902759,-0.2668170429560328,16.058823529411764,24.41176470588235,50.5,47.7,49.3,-0.2085300691336215,-0.10342098213002393,-0.1612309799820026
MIN,0.1749999999999999,0.0527777777777778,0.0635597612143193,0.1265844471488013,0.0673016047033867,24.5,19.944444444444443,57.6,54.8,54.4,0.10406792836429575,0.07141977858908485,0.08937626096545086
LAC,0.0999999999999999,0.125,0.0118158734147159,0.1898401696394173,0.0099798180659841,23.0,18.5,54.4,58.3,55.8,0.049544762024414726,0.12795205089182518,0.08482804201474944
LV,-0.1411764705882353,-0.2264705882352941,-0.1643935534974349,-0.117994805648626,-0.1802394547294052,18.176470588235293,25.529411764705884,53.9,59.7,59.9,-0.12872983075511282,-0.14716314757694074,-0.13702482332493537
SEA,0.0529411764705882,-0.0323529411764705,-0.0213645292138432,0.0520228376066949,-0.0264149828571218,22.058823529411764,21.647058823529413,54.7,49.1,56.4,0.01512005300055291,0.0047833218702437895,0.010468523991913807
