team,offensive_epa,defensive_epa,games_played
KC,0.10500000000000001,0.027499999999999997,20
BAL,0.45263157894736833,-0.007894736842105255,19
PHI,0.3976190476190476,0.14523809523809525,21
GB,0.2555555555555556,0.05,18
ATL,0.09411764705882353,-0.1941176470588235,17
PIT,0.04444444444444446,0.008333333333333325,18
BUF,0.4800000000000001,-0.029999999999999992,20
ARI,0.1264705882352941,-0.06470588235294118,17
CHI,-0.13823529411764707,-0.03823529411764706,17
TEN,-0.13529411764705881,-0.30294117647058827,17
CIN,0.33823529411764713,-0.22647058823529415,17
NE,-0.2,-0.17647058823529413,17
IND,0.05882352941176472,-0.2058823529411765,17
HOU,0.04999999999999999,-0.021052631578947368,19
MIA,-0.035294117647058816,-0.02058823529411764,17
JAX,-0.10882352941176472,-0.22941176470588232,17
NO,-0.05588235294117647,-0.12058823529411763,17
CAR,-0.04705882352941178,-0.5205882352941176,17
NYG,-0.24705882352941178,-0.17058823529411768,17
MIN,0.17499999999999996,0.0527777777777778,18
LAC,0.09999999999999998,0.125,18
LV,-0.1411764705882353,-0.22647058823529412,17
SEA,0.05294117647058824,-0.03235294117647059,17
DEN,0.15,0.10000000000000003,18
CLE,-0.2911764705882353,-0.22941176470588237,17
DAL,-0.020588235294117647,-0.3264705882352942,17
TB,0.4,-0.08333333333333331,18
WAS,0.38999999999999996,-0.19250000000000003,20
DET,0.6027777777777779,-0.02500000000000001,18
LA,0.044736842105263165,-0.0631578947368421,19
SF,0.09411764705882353,-0.2323529411764706,17
NYJ,-0.055882352941176466,-0.1382352941176471,17
