recent_team,total_plays,total_yards,yards_per_play,pass_rate,completion_rate,fantasy_points,plays_per_game_rank,yards_per_play_rank,pass_rate_rank,pace_category,offensive_style
ARI,1050,5600,6.276738985765692,60.0,65.0,63.2564705882353,18.0,7.0,21.0,Slow Pace,Run Heavy
ATL,1050,5600,6.116837271724083,60.0,65.0,65.03058823529412,4.0,11.0,24.0,Average Pace,Run Heavy
BAL,1050,5600,5.3,60.0,65.0,82.77473684210527,7.0,1.0,31.0,Average Pace,Run Heavy
BUF,1050,5600,6.0695587345680035,60.0,65.0,73.318,11.0,13.0,28.0,Average Pace,Run Heavy
CAR,1050,5600,5.494023841420281,60.0,65.0,55.96117647058823,32.0,26.0,10.0,Slow Pace,Balanced
CHI,1050,5600,5.248225344450084,60.0,65.0,54.8635294117647,23.0,30.0,12.0,Slow Pace,Balanced
CIN,1050,5600,6.281297484677612,60.0,65.0,76.80705882352942,9.0,6.0,1.0,Average Pace,Balanced
CLE,1050,5600,5.197552428231122,60.0,65.0,52.815294117647056,5.0,32.0,4.0,Average Pace,Balanced
DAL,1050,5600,5.440264917752452,60.0,65.0,56.34823529411764,5.0,28.0,6.0,Average Pace,Balanced
DEN,1050,5600,5.587794202406485,60.0,65.0,59.892222222222216,22.0,25.0,15.0,Slow Pace,Balanced
DET,1050,5600,6.756232384212911,60.0,65.0,84.5988888888889,1.0,2.0,27.0,Average Pace,Run Heavy
GB,1050,5600,6.416621479515061,60.0,65.0,68.63555555555556,21.0,5.0,30.0,Slow Pace,Run Heavy
HOU,1050,5600,5.9015079017187295,60.0,65.0,58.92947368421053,16.0,16.0,13.0,Slow Pace,Balanced
IND,1050,5600,5.902446430553942,60.0,65.0,58.921176470588236,17.0,15.0,25.0,Slow Pace,Run Heavy
JAX,1050,5600,5.644380216233095,60.0,65.0,55.163529411764706,31.0,22.0,11.0,Slow Pace,Balanced
KC,1050,5600,5.680599557751345,60.0,65.0,62.95,12.0,20.0,8.0,Slow Pace,Balanced
LAR,1050,5600,5.886085477869697,60.0,65.0,61.50842105263158,20.0,17.0,16.0,Slow Pace,Balanced
LAC,1050,5600,5.912648575340485,60.0,65.0,61.12777777777777,30.0,14.0,22.0,Slow Pace,Run Heavy
LV,1050,5600,5.377850492693044,60.0,65.0,53.25411764705883,13.0,29.0,2.0,Slow Pace,Balanced
MIA,1050,5600,5.638452675376781,60.0,65.0,58.30823529411765,10.0,23.0,9.0,Average Pace,Balanced
MIN,1050,5600,6.273170491014992,60.0,65.0,66.89777777777778,19.0,8.0,17.0,Slow Pace,Balanced
NE,1050,5600,5.446429380817442,60.0,65.0,51.06,28.0,27.0,18.0,Slow Pace,Run Heavy
NO,1050,5600,5.718324013537566,60.0,65.0,58.38235294117647,24.0,19.0,14.0,Slow Pace,Balanced
NYG,1050,5600,5.227818917765223,60.0,65.0,51.190588235294115,13.0,31.0,7.0,Slow Pace,Balanced
NYJ,1050,5600,5.76154163563801,60.0,65.0,62.48470588235294,29.0,18.0,3.0,Slow Pace,Balanced
PHI,1050,5600,6.188717409975128,60.0,65.0,70.98190476190476,3.0,9.0,32.0,Average Pace,Run Heavy
PIT,1050,5600,5.660762820706702,60.0,65.0,58.36,15.0,21.0,29.0,Slow Pace,Run Heavy
SEA,1050,5600,6.138591837453825,60.0,65.0,61.9035294117647,27.0,10.0,5.0,Slow Pace,Balanced
SF,1050,5600,6.597234006063432,60.0,65.0,63.59764705882353,25.0,4.0,20.0,Slow Pace,Run Heavy
TB,1050,5600,6.628027580990114,60.0,65.0,77.86666666666666,8.0,3.0,23.0,Average Pace,Run Heavy
TEN,1050,5600,5.621382563761753,60.0,65.0,54.37882352941177,26.0,24.0,19.0,Slow Pace,Run Heavy
WAS,1050,5600,6.111300546307339,60.0,65.0,72.798,2.0,12.0,26.0,Average Pace,Run Heavy